captain,p
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Christopher Markus,born:1970}"
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Joe Johnston,born:1950}"
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Stephen McFeely,born:1969}"
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Chris Evans,born:1981}"
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Hugo Weaving,born:1960}"
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Samuel L. Jackson,born:1948}"
"{title:Captain America: The First Avenger,tagline:Super-Soldier serum i want one too,released:2011}","{name:Hayley Atwell,born:1982}"
